games,summer,team,gold,silver,bronze,total,games_city,games_year,games_country,team_match,population,gdp_pc,home_team_match,home_team
Sochi 2014,0.0,Netherlands,8,7,9,24,Sochi ,2014,Russia,Netherlands,16865.0,44205.0,Russian Federation,0
Rio 2016,1.0,Netherlands,8,7,4,19,Rio ,2016,Brazil,Netherlands,17030.0,45600.0,Brazil,0
PyeongChang 2018,0.0,Netherlands,8,6,6,20,PyeongChang ,2018,South Korea,Netherlands,17232.0,47474.11,Republic of Korea,0
Tokyo 2020,1.0,Netherlands,10,12,14,36,Tokyo ,2020,Japan,Netherlands,,,Japan,0
London 1908,1.0,Bohemia,0,0,2,2,London ,1908,United Kingdom,,,,United Kingdom,0
Antwerp 1920,1.0,Estonia,1,2,0,3,Antwerp ,1920,Belgium,Estonia,,8403.77966101695,Belgium,0
Paris 1924,1.0,Estonia,1,1,4,6,Paris ,1924,France,Estonia,,8810.966101694916,France,0
Amsterdam 1928,1.0,Estonia,2,1,2,5,Amsterdam ,1928,Netherlands,Estonia,,9218.152542372882,Netherlands,0
Berlin 1936,1.0,Estonia,2,2,3,7,Berlin ,1936,Germany,Estonia,,10032.525423728814,Germany,0
Barcelona 1992,1.0,Estonia,1,0,1,2,Barcelona ,1992,Spain,Estonia,1533.0,13214.39,Spain,0
Sydney 2000,1.0,Estonia,1,0,2,3,Sydney ,2000,Australia,Estonia,1365.0,16806.97,Australia,0
Salt Lake City 2002,0.0,Estonia,1,1,1,3,Salt Lake City ,2002,United States,Estonia,1348.0,18589.15,United States,0
Athens 2004,1.0,Estonia,0,1,2,3,Athens ,2004,Greece,Estonia,1332.0,20803.76,Greece,0
Beijing 2008,1.0,Estonia,1,1,0,2,Beijing ,2008,China,Estonia,1307.0,24429.02,China,0
Vancouver 2010,0.0,Estonia,0,1,0,1,Vancouver ,2010,Canada,Estonia,1301.0,20713.43,Canada,0
London 2012,1.0,Estonia,0,1,1,2,London ,2012,United Kingdom,Estonia,1293.0,23026.0,United Kingdom,0
Rio 2016,1.0,Estonia,0,0,1,1,Rio ,2016,Brazil,Estonia,1286.0,24857.0,Brazil,0
Tokyo 2020,1.0,Estonia,1,0,1,2,Tokyo ,2020,Japan,Estonia,,,Japan,0
Antwerp 1920,1.0,Brazil,1,1,1,3,Antwerp ,1920,Belgium,Brazil,27404.0,1242.0,Belgium,0
London 1948,1.0,Brazil,0,0,1,1,London ,1948,United Kingdom,Brazil,49590.0,2096.0,United Kingdom,0
Helsinki 1952,1.0,Brazil,1,0,2,3,Helsinki ,1952,Finland,Brazil,56603.0,2377.0,Finland,0
Melbourne 1956,1.0,Brazil,1,0,0,1,Melbourne ,1956,Australia,Brazil,63632.0,2672.0,Australia,0
Rome 1960,1.0,Brazil,0,0,2,2,Rome ,1960,Italy,Brazil,71695.0,3398.0,Italy,0
Tokyo 1964,1.0,Brazil,0,0,1,1,Tokyo ,1964,Japan,Brazil,80667.0,3637.0,Japan,0
Mexico City 1968,1.0,Brazil,0,1,2,3,Mexico City ,1968,Mexico,Brazil,90569.0,4050.0,Mexico,0
Munich 1972,1.0,Brazil,0,0,2,2,Munich ,1972,Germany,Brazil,100874.0,5480.0,Germany,0
Montreal 1976,1.0,Brazil,0,0,2,2,Montreal ,1976,Canada,Brazil,111603.0,7079.0,Canada,0
Moscow 1980,1.0,Brazil,2,0,2,4,Moscow ,1980,Russia,Brazil,123020.0,8249.0,Russian Federation,0
Los Angeles 1984,1.0,Brazil,1,5,2,8,Los Angeles ,1984,United States,Brazil,134699.0,7438.0,United States,0
Seoul 1988,1.0,Brazil,1,2,3,6,Seoul ,1988,South Korea,Brazil,145873.0,8230.0,Republic of Korea,0
Barcelona 1992,1.0,Brazil,2,1,0,3,Barcelona ,1992,Spain,Brazil,156281.0,7812.79,Spain,0
Atlanta 1996,1.0,Brazil,3,3,9,15,Atlanta ,1996,United States,Brazil,166306.0,9124.52,United States,0
Sydney 2000,1.0,Brazil,0,6,6,12,Sydney ,2000,Australia,Brazil,176369.0,9834.42,Australia,0
Athens 2004,1.0,Brazil,5,2,3,10,Athens ,2004,Greece,Brazil,185994.0,10949.66,Greece,0
Beijing 2008,1.0,Brazil,3,4,10,17,Beijing ,2008,China,Brazil,194394.0,13164.01,China,0
London 2012,1.0,Brazil,3,5,9,17,London ,2012,United Kingdom,Brazil,201670.0,14985.0,United Kingdom,0
Rio 2016,1.0,Brazil,7,6,6,19,Rio ,2016,Brazil,Brazil,208249.0,13873.0,Brazil,1
Tokyo 2020,1.0,Brazil,7,6,8,21,Tokyo ,2020,Japan,Brazil,,,Japan,0
Antwerp 1920,1.0,Spain,0,2,0,2,Antwerp ,1920,Belgium,Spain,21232.0,3244.0,Belgium,0
Amsterdam 1928,1.0,Spain,1,0,0,1,Amsterdam ,1928,Netherlands,Spain,22977.0,3907.0,Netherlands,0
Los Angeles 1932,1.0,Spain,0,0,1,1,Los Angeles ,1932,United States,Spain,23897.0,3856.0,United States,0
London 1948,1.0,Spain,0,1,0,1,London ,1948,United Kingdom,Spain,27437.0,3478.0,United Kingdom,0
Helsinki 1952,1.0,Spain,0,1,0,1,Helsinki ,1952,Finland,Spain,28550.0,4105.0,Finland,0
Rome 1960,1.0,Spain,0,0,1,1,Rome ,1960,Italy,Spain,30641.0,5037.0,Italy,0
Sapporo 1972,0.0,Spain,1,0,0,1,Sapporo ,1972,Japan,Spain,34513.0,10796.0,Japan,0
Munich 1972,1.0,Spain,0,0,1,1,Munich ,1972,Germany,Spain,34513.0,10796.0,Germany,0
Montreal 1976,1.0,Spain,0,2,0,2,Montreal ,1976,Canada,Spain,35997.0,13053.0,Canada,0
Moscow 1980,1.0,Spain,1,3,2,6,Moscow ,1980,Russia,Spain,37488.0,14008.0,Russian Federation,0
Los Angeles 1984,1.0,Spain,1,2,2,5,Los Angeles ,1984,United States,Spain,38363.0,14308.0,United States,0
Seoul 1988,1.0,Spain,1,1,2,4,Seoul ,1988,South Korea,Spain,39054.0,17272.0,Republic of Korea,0
Albertville 1992,0.0,Spain,0,0,1,1,Albertville ,1992,France,Spain,39645.0,20329.17,France,0
Barcelona 1992,1.0,Spain,13,7,2,22,Barcelona ,1992,Spain,Spain,39645.0,20329.17,Spain,1
Atlanta 1996,1.0,Spain,5,6,6,17,Atlanta ,1996,United States,Spain,40386.0,22185.07,United States,0
Sydney 2000,1.0,Spain,3,3,5,11,Sydney ,2000,Australia,Spain,41072.0,26994.86,Australia,0
Athens 2004,1.0,Spain,3,11,6,20,Athens ,2004,Greece,Spain,43456.0,30088.09,Greece,0
Beijing 2008,1.0,Spain,5,11,3,19,Beijing ,2008,China,Spain,46526.0,32844.33,China,0
London 2012,1.0,Spain,4,10,4,18,London ,2012,United Kingdom,Spain,47355.0,30699.0,United Kingdom,0
Rio 2016,1.0,Spain,7,4,6,17,Rio ,2016,Brazil,Spain,47062.0,30110.0,Brazil,0
PyeongChang 2018,0.0,Spain,0,0,2,2,PyeongChang ,2018,South Korea,Spain,47380.0,31496.52,Republic of Korea,0
Tokyo 2020,1.0,Spain,3,8,6,17,Tokyo ,2020,Japan,Spain,,,Japan,0
Antwerp 1920,1.0,Japan,0,2,0,2,Antwerp ,1920,Belgium,Japan,55818.0,2973.96,Belgium,0
Paris 1924,1.0,Japan,0,0,1,1,Paris ,1924,France,Japan,58686.0,3316.36,France,0
Amsterdam 1928,1.0,Japan,2,2,1,5,Amsterdam ,1928,Netherlands,Japan,62361.0,3554.12,Netherlands,0
Los Angeles 1932,1.0,Japan,7,7,4,18,Los Angeles ,1932,United States,Japan,66189.0,3529.29,United States,0
Berlin 1936,1.0,Japan,6,4,10,20,Berlin ,1936,Germany,Japan,70171.0,3985.55,Germany,0
Helsinki 1952,1.0,Japan,1,6,2,9,Helsinki ,1952,Finland,Japan,86459.0,3724.0,Finland,0
Melbourne 1956,1.0,Japan,4,10,5,19,Melbourne ,1956,Australia,Japan,90766.0,4699.0,Australia,0
Rome 1960,1.0,Japan,4,7,7,18,Rome ,1960,Italy,Japan,94092.0,6354.0,Italy,0
Tokyo 1964,1.0,Japan,16,5,8,29,Tokyo ,1964,Japan,Japan,97826.0,9035.0,Japan,1
Mexico City 1968,1.0,Japan,11,7,7,25,Mexico City ,1968,Mexico,Japan,101961.0,12725.0,Mexico,0
Sapporo 1972,0.0,Japan,1,1,1,3,Sapporo ,1972,Japan,Japan,107188.0,17110.0,Japan,1
Munich 1972,1.0,Japan,13,8,8,29,Munich ,1972,Germany,Japan,107188.0,17110.0,Germany,0
Montreal 1976,1.0,Japan,9,6,10,25,Montreal ,1976,Canada,Japan,112775.0,18600.0,Canada,0
Lake Placid 1980,0.0,Japan,0,1,0,1,Lake Placid ,1980,United States,Japan,116807.0,21404.0,United States,0
Sarajevo 1984,0.0,Japan,0,1,0,1,Sarajevo ,1984,Bosnia and Herzegovina,Japan,120035.0,23548.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Japan,10,8,14,32,Los Angeles ,1984,United States,Japan,120035.0,23548.0,United States,0
Seoul 1988,1.0,Japan,4,3,7,14,Seoul ,1988,South Korea,Japan,122613.0,27393.0,Republic of Korea,0
Calgary 1988,0.0,Japan,0,0,1,1,Calgary ,1988,Canada,Japan,122613.0,27393.0,Canada,0
Albertville 1992,0.0,Japan,1,2,4,7,Albertville ,1992,France,Japan,124467.0,30977.81,France,0
Barcelona 1992,1.0,Japan,3,8,11,22,Barcelona ,1992,Spain,Japan,124467.0,30977.81,Spain,0
Lillehammer 1994,0.0,Japan,1,2,2,5,Lillehammer ,1994,Norway,Japan,125217.0,31135.43,Norway,0
Atlanta 1996,1.0,Japan,3,6,5,14,Atlanta ,1996,United States,Japan,125812.0,32784.16,United States,0
Nagano 1998,0.0,Japan,5,1,4,10,Nagano ,1998,Japan,Japan,126451.0,32558.19,Japan,1
Sydney 2000,1.0,Japan,5,8,5,18,Sydney ,2000,Australia,Japan,126933.0,33210.81,Australia,0
Salt Lake City 2002,0.0,Japan,0,1,1,2,Salt Lake City ,2002,United States,Japan,127503.0,33195.4,United States,0
Athens 2004,1.0,Japan,16,9,12,37,Athens ,2004,Greece,Japan,127837.0,34313.56,Greece,0
Beijing 2008,1.0,Japan,9,8,8,25,Beijing ,2008,China,Japan,127795.0,35496.23,China,0
Vancouver 2010,0.0,Japan,0,3,2,5,Vancouver ,2010,Canada,Japan,127529.0,35011.4,Canada,0
London 2012,1.0,Japan,7,14,17,38,London ,2012,United Kingdom,Japan,127141.0,35580.0,United Kingdom,0
Sochi 2014,0.0,Japan,1,4,3,8,Sochi ,2014,Russia,Japan,126710.0,36537.0,Russian Federation,0
Rio 2016,1.0,Japan,12,8,21,41,Rio ,2016,Brazil,Japan,126310.0,37465.0,Brazil,0
PyeongChang 2018,0.0,Japan,4,5,4,13,PyeongChang ,2018,South Korea,Japan,125848.0,38673.81,Republic of Korea,0
Tokyo 2020,1.0,Japan,27,14,17,58,Tokyo ,2020,Japan,Japan,,,Japan,1
Antwerp 1920,1.0,Luxembourg,0,1,0,1,Antwerp ,1920,Belgium,Luxembourg,,,Belgium,0
Paris 1924,1.0,Luxembourg,1,1,0,2,Paris ,1924,France,Luxembourg,,,France,0
Amsterdam 1928,1.0,Luxembourg,1,0,0,1,Amsterdam ,1928,Netherlands,Luxembourg,,,Netherlands,0
Helsinki 1952,1.0,Luxembourg,1,0,0,1,Helsinki ,1952,Finland,Luxembourg,299.0,13162.0,Finland,0
Albertville 1992,0.0,Luxembourg,0,2,0,2,Albertville ,1992,France,Luxembourg,393.0,39231.59,France,0
Antwerp 1920,1.0,Czechoslovakia,0,0,2,2,Antwerp ,1920,Belgium,Czechoslovakia,12979.0,3081.0,Belgium,0
Paris 1924,1.0,Czechoslovakia,1,4,5,10,Paris ,1924,France,Czechoslovakia,13413.0,3751.0,France,0
Amsterdam 1928,1.0,Czechoslovakia,2,5,2,9,Amsterdam ,1928,Netherlands,Czechoslovakia,13807.0,4745.0,Netherlands,0
St. Moritz 1928,0.0,Czechoslovakia,0,0,1,1,St. Moritz ,1928,Switzerland,Czechoslovakia,13807.0,4745.0,Switzerland,0
Los Angeles 1932,1.0,Czechoslovakia,1,3,2,6,Los Angeles ,1932,United States,Czechoslovakia,14138.0,4272.0,United States,0
Berlin 1936,1.0,Czechoslovakia,3,5,1,9,Berlin ,1936,Germany,Czechoslovakia,14387.0,4143.0,Germany,0
St. Moritz 1948,0.0,Czechoslovakia,0,1,0,1,St. Moritz ,1948,Switzerland,Czechoslovakia,12339.0,4922.0,Switzerland,0
London 1948,1.0,Czechoslovakia,6,2,3,11,London ,1948,United Kingdom,Czechoslovakia,12339.0,4922.0,United Kingdom,0
Helsinki 1952,1.0,Czechoslovakia,7,3,3,13,Helsinki ,1952,Finland,Czechoslovakia,12683.0,5735.0,Finland,0
Melbourne 1956,1.0,Czechoslovakia,1,4,1,6,Melbourne ,1956,Australia,Czechoslovakia,13229.0,6551.0,Australia,0
Squaw Valley 1960,0.0,Czechoslovakia,0,1,0,1,Squaw Valley ,1960,United States,Czechoslovakia,13654.0,8142.0,United States,0
Rome 1960,1.0,Czechoslovakia,3,2,3,8,Rome ,1960,Italy,Czechoslovakia,13654.0,8142.0,Italy,0
Innsbruck 1964,0.0,Czechoslovakia,0,0,1,1,Innsbruck ,1964,Austria,Czechoslovakia,14052.0,8563.0,Austria,0
Tokyo 1964,1.0,Czechoslovakia,5,6,3,14,Tokyo ,1964,Japan,Czechoslovakia,14052.0,8563.0,Japan,0
Mexico City 1968,1.0,Czechoslovakia,7,2,4,13,Mexico City ,1968,Mexico,Czechoslovakia,14323.0,9919.0,Mexico,0
Grenoble 1968,0.0,Czechoslovakia,1,2,1,4,Grenoble ,1968,France,Czechoslovakia,14323.0,9919.0,France,0
Sapporo 1972,0.0,Czechoslovakia,1,0,2,3,Sapporo ,1972,Japan,Czechoslovakia,14456.0,10932.0,Japan,0
Munich 1972,1.0,Czechoslovakia,2,4,2,8,Munich ,1972,Germany,Czechoslovakia,14456.0,10932.0,Germany,0
Montreal 1976,1.0,Czechoslovakia,2,2,4,8,Montreal ,1976,Canada,Czechoslovakia,14884.0,11893.0,Canada,0
Innsbruck 1976,0.0,Czechoslovakia,0,1,0,1,Innsbruck ,1976,Austria,Czechoslovakia,14884.0,11893.0,Austria,0
Moscow 1980,1.0,Czechoslovakia,2,3,9,14,Moscow ,1980,Russia,Czechoslovakia,15255.0,12723.0,Russian Federation,0
Lake Placid 1980,0.0,Czechoslovakia,0,0,1,1,Lake Placid ,1980,United States,Czechoslovakia,15255.0,12723.0,United States,0
Sarajevo 1984,0.0,Czechoslovakia,0,2,4,6,Sarajevo ,1984,Bosnia and Herzegovina,Czechoslovakia,15423.0,13260.0,Former Yugoslavia,0
Seoul 1988,1.0,Czechoslovakia,3,3,2,8,Seoul ,1988,South Korea,Czechoslovakia,15537.0,13882.0,Republic of Korea,0
Calgary 1988,0.0,Czechoslovakia,0,1,2,3,Calgary ,1988,Canada,Czechoslovakia,15537.0,13882.0,Canada,0
Albertville 1992,0.0,Czechoslovakia,0,0,3,3,Albertville ,1992,France,Czechoslovakia,15619.0,11742.93,France,0
Barcelona 1992,1.0,Czechoslovakia,4,2,1,7,Barcelona ,1992,Spain,Czechoslovakia,15619.0,11742.93,Spain,0
Antwerp 1920,1.0,New Zealand,0,0,1,1,Antwerp ,1920,Belgium,New Zealand,1241.0,8992.0,Belgium,0
Paris 1924,1.0,New Zealand,0,0,1,1,Paris ,1924,France,New Zealand,1350.0,8198.0,France,0
Amsterdam 1928,1.0,New Zealand,1,0,0,1,Amsterdam ,1928,Netherlands,New Zealand,1454.0,8195.0,Netherlands,0
Los Angeles 1932,1.0,New Zealand,0,1,0,1,Los Angeles ,1932,United States,New Zealand,1527.0,6897.0,United States,0
Berlin 1936,1.0,New Zealand,1,0,0,1,Berlin ,1936,Germany,New Zealand,1573.0,9309.0,Germany,0
Helsinki 1952,1.0,New Zealand,1,0,2,3,Helsinki ,1952,Finland,New Zealand,1995.0,12427.0,Finland,0
Melbourne 1956,1.0,New Zealand,2,0,0,2,Melbourne ,1956,Australia,New Zealand,2178.0,14346.0,Australia,0
Rome 1960,1.0,New Zealand,2,0,1,3,Rome ,1960,Italy,New Zealand,2372.0,15087.0,Italy,0
Tokyo 1964,1.0,New Zealand,3,0,2,5,Tokyo ,1964,Japan,New Zealand,2592.0,16606.0,Japan,0
Mexico City 1968,1.0,New Zealand,1,0,2,3,Mexico City ,1968,Mexico,New Zealand,2759.0,16809.0,Mexico,0
Munich 1972,1.0,New Zealand,1,1,1,3,Munich ,1972,Germany,New Zealand,2929.0,18889.0,Germany,0
Montreal 1976,1.0,New Zealand,2,1,1,4,Montreal ,1976,Canada,New Zealand,3154.0,20161.0,Canada,0
Los Angeles 1984,1.0,New Zealand,8,1,2,11,Los Angeles ,1984,United States,New Zealand,3298.0,21783.0,United States,0
Seoul 1988,1.0,New Zealand,3,2,8,13,Seoul ,1988,South Korea,New Zealand,3361.0,22022.0,Republic of Korea,0
Albertville 1992,0.0,New Zealand,0,1,0,1,Albertville ,1992,France,New Zealand,3494.0,21093.06,France,0
Barcelona 1992,1.0,New Zealand,1,4,5,10,Barcelona ,1992,Spain,New Zealand,3494.0,21093.06,Spain,0
Atlanta 1996,1.0,New Zealand,3,2,1,6,Atlanta ,1996,United States,New Zealand,3697.0,24321.25,United States,0
Sydney 2000,1.0,New Zealand,1,0,3,4,Sydney ,2000,Australia,New Zealand,3802.0,26823.02,Australia,0
Athens 2004,1.0,New Zealand,3,2,0,5,Athens ,2004,Greece,New Zealand,4039.0,29806.74,Greece,0
Beijing 2008,1.0,New Zealand,3,2,4,9,Beijing ,2008,China,New Zealand,4202.0,31444.63,China,0
London 2012,1.0,New Zealand,6,2,5,13,London ,2012,United Kingdom,New Zealand,4345.0,32674.0,United Kingdom,0
Rio 2016,1.0,New Zealand,4,9,5,18,Rio ,2016,Brazil,New Zealand,4660.0,34295.0,Brazil,0
PyeongChang 2018,0.0,New Zealand,0,0,2,2,PyeongChang ,2018,South Korea,New Zealand,4840.0,35336.14,Republic of Korea,0
Tokyo 2020,1.0,New Zealand,7,6,7,20,Tokyo ,2020,Japan,New Zealand,,,Japan,0
Paris 1924,1.0,Yugoslavia,2,0,0,2,Paris ,1924,France,Former Yugoslavia,13180.0,1699.0,France,0
Amsterdam 1928,1.0,Yugoslavia,1,1,3,5,Amsterdam ,1928,Netherlands,Former Yugoslavia,13986.0,1929.0,Netherlands,0
Berlin 1936,1.0,Yugoslavia,0,1,0,1,Berlin ,1936,Germany,Former Yugoslavia,15651.0,1863.0,Germany,0
London 1948,1.0,Yugoslavia,0,2,0,2,London ,1948,United Kingdom,Former Yugoslavia,15817.0,2273.0,United Kingdom,0
Helsinki 1952,1.0,Yugoslavia,1,2,0,3,Helsinki ,1952,Finland,Former Yugoslavia,16708.0,2125.0,Finland,0
Melbourne 1956,1.0,Yugoslavia,0,3,0,3,Melbourne ,1956,Australia,Former Yugoslavia,17508.0,2560.0,Australia,0
Rome 1960,1.0,Yugoslavia,1,1,0,2,Rome ,1960,Italy,Former Yugoslavia,18133.0,3778.0,Italy,0
Tokyo 1964,1.0,Yugoslavia,2,1,2,5,Tokyo ,1964,Japan,Former Yugoslavia,18852.0,4941.0,Japan,0
Mexico City 1968,1.0,Yugoslavia,3,3,2,8,Mexico City ,1968,Mexico,Former Yugoslavia,19552.0,5523.0,Mexico,0
Munich 1972,1.0,Yugoslavia,2,1,2,5,Munich ,1972,Germany,Former Yugoslavia,20197.0,6948.0,Germany,0
Montreal 1976,1.0,Yugoslavia,2,3,3,8,Montreal ,1976,Canada,Former Yugoslavia,20930.0,8207.0,Canada,0
Moscow 1980,1.0,Yugoslavia,2,3,4,9,Moscow ,1980,Russia,Former Yugoslavia,21615.0,10037.0,Russian Federation,0
Sarajevo 1984,0.0,Yugoslavia,0,1,0,1,Sarajevo ,1984,Bosnia and Herzegovina,Former Yugoslavia,22087.0,10029.0,Former Yugoslavia,1
Los Angeles 1984,1.0,Yugoslavia,7,4,7,18,Los Angeles ,1984,United States,Former Yugoslavia,22087.0,10029.0,United States,0
Seoul 1988,1.0,Yugoslavia,3,4,5,12,Seoul ,1988,South Korea,Former Yugoslavia,22536.0,9884.0,Republic of Korea,0
Calgary 1988,0.0,Yugoslavia,0,2,1,3,Calgary ,1988,Canada,Former Yugoslavia,22536.0,9884.0,Canada,0
Paris 1924,1.0,Argentina,1,3,2,6,Paris ,1924,France,Argentina,10054.0,6464.0,France,0
Amsterdam 1928,1.0,Argentina,3,3,1,7,Amsterdam ,1928,Netherlands,Argentina,11282.0,6840.0,Netherlands,0
Los Angeles 1932,1.0,Argentina,3,1,0,4,Los Angeles ,1932,United States,Argentina,12402.0,5614.0,United States,0
Berlin 1936,1.0,Argentina,2,2,3,7,Berlin ,1936,Germany,Argentina,13260.0,6236.0,Germany,0
London 1948,1.0,Argentina,3,3,1,7,London ,1948,United Kingdom,Argentina,16307.0,8372.0,United Kingdom,0
Helsinki 1952,1.0,Argentina,1,2,2,5,Helsinki ,1952,Finland,Argentina,17877.0,7519.0,Finland,0
Melbourne 1956,1.0,Argentina,0,1,1,2,Melbourne ,1956,Australia,Argentina,19272.0,8424.0,Australia,0
Rome 1960,1.0,Argentina,0,1,1,2,Rome ,1960,Italy,Argentina,20616.0,8861.0,Italy,0
Tokyo 1964,1.0,Argentina,0,1,0,1,Tokyo ,1964,Japan,Argentina,21949.0,9446.0,Japan,0
Mexico City 1968,1.0,Argentina,0,0,2,2,Mexico City ,1968,Mexico,Argentina,23261.0,10485.0,Mexico,0
Munich 1972,1.0,Argentina,0,1,0,1,Munich ,1972,Germany,Argentina,24780.0,12170.0,Germany,0
Seoul 1988,1.0,Argentina,0,1,1,2,Seoul ,1988,South Korea,Argentina,32099.0,11244.0,Republic of Korea,0
Barcelona 1992,1.0,Argentina,0,0,1,1,Barcelona ,1992,Spain,Argentina,33967.0,12267.08,Spain,0
Atlanta 1996,1.0,Argentina,0,2,1,3,Atlanta ,1996,United States,Argentina,35683.0,13715.23,United States,0
Sydney 2000,1.0,Argentina,0,2,2,4,Sydney ,2000,Australia,Argentina,37336.0,14368.94,Australia,0
Athens 2004,1.0,Argentina,2,0,4,6,Athens ,2004,Greece,Argentina,38946.0,14183.23,Greece,0
Beijing 2008,1.0,Argentina,2,0,4,6,Beijing ,2008,China,Argentina,40532.0,18520.3,China,0
London 2012,1.0,Argentina,1,1,2,4,London ,2012,United Kingdom,Argentina,42217.0,19599.0,United Kingdom,0
Rio 2016,1.0,Argentina,3,1,0,4,Rio ,2016,Brazil,Argentina,43887.0,18875.0,Brazil,0
Tokyo 2020,1.0,Argentina,0,1,2,3,Tokyo ,2020,Japan,Argentina,,,Japan,0
Paris 1924,1.0,Uruguay,1,0,0,1,Paris ,1924,France,Uruguay,1498.0,4258.0,France,0
Amsterdam 1928,1.0,Uruguay,1,0,0,1,Amsterdam ,1928,Netherlands,Uruguay,1646.0,5176.0,Netherlands,0
Los Angeles 1932,1.0,Uruguay,0,0,1,1,Los Angeles ,1932,United States,Uruguay,1770.0,4450.0,United States,0
London 1948,1.0,Uruguay,0,1,1,2,London ,1948,United Kingdom,Uruguay,2160.0,5853.0,United Kingdom,0
Helsinki 1952,1.0,Uruguay,0,0,2,2,Helsinki ,1952,Finland,Uruguay,2253.0,7353.0,Finland,0
Melbourne 1956,1.0,Uruguay,0,0,1,1,Melbourne ,1956,Australia,Uruguay,2389.0,8225.0,Australia,0
Tokyo 1964,1.0,Uruguay,0,0,1,1,Tokyo ,1964,Japan,Uruguay,2664.0,7498.0,Japan,0
Sydney 2000,1.0,Uruguay,0,1,0,1,Sydney ,2000,Australia,Uruguay,3246.0,13050.06,Australia,0
Paris 1924,1.0,Ireland,0,1,1,2,Paris ,1924,France,Ireland,3005.0,4095.0,France,0
Amsterdam 1928,1.0,Ireland,1,0,0,1,Amsterdam ,1928,Netherlands,Ireland,2944.0,4363.0,Netherlands,0
Los Angeles 1932,1.0,Ireland,2,0,0,2,Los Angeles ,1932,United States,Ireland,2949.0,4599.0,United States,0
London 1948,1.0,Ireland,0,0,1,1,London ,1948,United Kingdom,Ireland,2985.0,5149.0,United Kingdom,0
Helsinki 1952,1.0,Ireland,0,1,0,1,Helsinki ,1952,Finland,Ireland,2952.0,5805.0,Finland,0
Melbourne 1956,1.0,Ireland,1,1,3,5,Melbourne ,1956,Australia,Ireland,2895.0,6212.0,Australia,0
Tokyo 1964,1.0,Ireland,0,0,1,1,Tokyo ,1964,Japan,Ireland,2864.0,7948.0,Japan,0
Moscow 1980,1.0,Ireland,0,1,1,2,Moscow ,1980,Russia,Ireland,3401.0,13614.0,Russian Federation,0
Los Angeles 1984,1.0,Ireland,0,1,0,1,Los Angeles ,1984,United States,Ireland,3529.0,14435.0,United States,0
Barcelona 1992,1.0,Ireland,1,1,0,2,Barcelona ,1992,Spain,Ireland,3553.0,20032.72,Spain,0
Atlanta 1996,1.0,Ireland,3,0,1,4,Atlanta ,1996,United States,Ireland,3632.0,26562.91,United States,0
Sydney 2000,1.0,Ireland,0,1,0,1,Sydney ,2000,Australia,Ireland,3799.0,38806.5,Australia,0
Beijing 2008,1.0,Ireland,0,1,2,3,Beijing ,2008,China,Ireland,4482.0,49583.14,China,0
London 2012,1.0,Ireland,1,1,4,6,London ,2012,United Kingdom,Ireland,4592.0,48333.0,United Kingdom,0
Rio 2016,1.0,Ireland,0,2,0,2,Rio ,2016,Brazil,Ireland,4748.0,56597.0,Brazil,0
Tokyo 2020,1.0,Ireland,2,0,2,4,Tokyo ,2020,Japan,Ireland,,,Japan,0
Paris 1924,1.0,Poland,0,1,1,2,Paris ,1924,France,Poland,25992.0,3166.222222222222,France,0
Amsterdam 1928,1.0,Poland,2,1,4,7,Amsterdam ,1928,Netherlands,Poland,27509.0,3332.4444444444443,Netherlands,0
Los Angeles 1932,1.0,Poland,3,2,4,9,Los Angeles ,1932,United States,Poland,29022.0,2643.0,United States,0
Berlin 1936,1.0,Poland,0,4,5,9,Berlin ,1936,Germany,Poland,30471.0,2590.0,Germany,0
London 1948,1.0,Poland,1,0,1,2,London ,1948,United Kingdom,Poland,23980.0,3439.49,United Kingdom,0
Helsinki 1952,1.0,Poland,1,2,1,4,Helsinki ,1952,Finland,Poland,25731.0,4018.0,Finland,0
Melbourne 1956,1.0,Poland,1,4,4,9,Melbourne ,1956,Australia,Poland,27744.0,4565.0,Australia,0
Squaw Valley 1960,0.0,Poland,0,1,1,2,Squaw Valley ,1960,United States,Poland,29590.0,5125.0,United States,0
Rome 1960,1.0,Poland,4,6,11,21,Rome ,1960,Italy,Poland,29590.0,5125.0,Italy,0
Tokyo 1964,1.0,Poland,7,6,10,23,Tokyo ,1964,Japan,Poland,30976.0,5773.0,Japan,0
Mexico City 1968,1.0,Poland,5,2,11,18,Mexico City ,1968,Mexico,Poland,32035.0,6881.0,Mexico,0
Sapporo 1972,0.0,Poland,1,0,0,1,Sapporo ,1972,Japan,Poland,33040.0,7986.0,Japan,0
Munich 1972,1.0,Poland,7,5,9,21,Munich ,1972,Germany,Poland,33040.0,7986.0,Germany,0
Montreal 1976,1.0,Poland,7,6,13,26,Montreal ,1976,Canada,Poland,34299.0,9397.0,Canada,0
Moscow 1980,1.0,Poland,3,14,15,32,Moscow ,1980,Russia,Poland,35578.0,9149.0,Russian Federation,0
Seoul 1988,1.0,Poland,2,5,9,16,Seoul ,1988,South Korea,Poland,37867.0,9228.0,Republic of Korea,0
Barcelona 1992,1.0,Poland,3,6,10,19,Barcelona ,1992,Spain,Poland,38372.0,7873.92,Spain,0
Atlanta 1996,1.0,Poland,7,5,5,17,Atlanta ,1996,United States,Poland,38633.0,10066.17,United States,0
